      #Energy        TDOS-UP        TDOS-DOWN
       0.46352       4.62400      -4.62400
       0.53052       4.01000      -4.01000
       0.59752       3.46000      -3.45900
       0.66352       2.84300      -2.84300
       0.73052       2.16600      -2.16600
       0.79752       1.59000      -1.59000
       0.86352       1.25600      -1.25600
       0.93052       1.18100      -1.18100
       0.99752       1.29200      -1.29200
       1.06352       1.49900      -1.49900
       1.13052       1.72500      -1.72500
       1.19752       1.94200      -1.94200
       1.26352       2.18500      -2.18500
       1.33052       2.49200      -2.49200
       1.39752       2.82700      -2.82700
       1.46352       3.14700      -3.14700
       1.53052       3.59200      -3.59200
       1.59752       4.54500      -4.54500
       1.66352       6.32400      -6.32400
       1.73052       8.66200      -8.66200
       1.79752      10.62000     -10.62000
       1.86352      11.30000     -11.30000
       1.93052      10.65000     -10.65000
       1.99752       9.38200      -9.38100
       2.06352       8.11500      -8.11500
       2.13052       7.04000      -7.04000
       2.19752       6.19800      -6.19800
       2.26352       5.69500      -5.69500
       2.33052       5.57800      -5.57800
       2.39752       5.71300      -5.71300
       2.46352       5.83900      -5.83900
       2.53052       5.72100      -5.72100
       2.59752       5.31500      -5.31500
       2.66352       4.80900      -4.80900
       2.73052       4.43100      -4.43100
       2.79752       4.25600      -4.25600
       2.86352       4.23100      -4.23100
       2.93052       4.30000      -4.30000
       2.99752       4.40800      -4.40800
       3.06352       4.43600      -4.43600
       3.13052       4.27900      -4.27900
       3.19752       3.99800      -3.99800
       3.26352       3.79700      -3.79700
       3.33052       3.76600      -3.76600
       3.39752       3.72400      -3.72400
       3.46352       3.45600      -3.45600
       3.53052       3.07400      -3.07400
       3.59752       2.93400      -2.93400
       3.66352       3.19200      -3.19200
       3.73052       3.67700      -3.67700
       3.79752       4.21600      -4.21600
       3.86352       4.84400      -4.84400
       3.93052       5.60700      -5.60700
       3.99752       6.37600      -6.37600
       4.06352       6.92700      -6.92700
       4.13052       7.06200      -7.06200
       4.19752       6.69500      -6.69500
       4.26352       5.95200      -5.95200
       4.33052       5.14900      -5.14900
       4.39752       4.58300      -4.58300
       4.46352       4.41800      -4.41800
       4.53052       4.74800      -4.74800
       4.59752       5.55500      -5.55500
       4.66352       6.53800      -6.53800
       4.73052       7.19000      -7.19000
       4.79752       7.20600      -7.20600
       4.86352       6.79100      -6.79100
       4.93052       6.45700      -6.45700
       4.99752       6.48500      -6.48500
       5.06352       6.65700      -6.65700
       5.13052       6.54000      -6.54000
       5.19752       5.98500      -5.98500
       5.26352       5.30500      -5.30500
       5.33052       4.93000      -4.93000
       5.39752       4.93100      -4.93100
       5.46352       5.02600      -5.02600
       5.53052       5.01700      -5.01700
       5.59752       4.99900      -4.99900
       5.66352       5.10000      -5.10000
       5.73052       5.24100      -5.24100
       5.79752       5.27700      -5.27700
       5.86352       5.20500      -5.20500
       5.93052       5.14500      -5.14500
       5.99752       5.18200      -5.18200
       6.06352       5.30900      -5.30900
       6.13052       5.48400      -5.48300
       6.19752       5.66900      -5.66900
       6.26352       5.79300      -5.79300
       6.33052       5.75900      -5.75900
       6.39752       5.57200      -5.57200
       6.46352       5.39200      -5.39200
       6.53052       5.34000      -5.34000
       6.59752       5.38200      -5.38200
       6.66352       5.42100      -5.42100
       6.73052       5.36700      -5.36700
       6.79752       5.15000      -5.15000
       6.86352       4.80300      -4.80300
       6.93052       4.51200      -4.51200
       6.99752       4.49400      -4.49400
       7.06352       4.88600      -4.88600
       7.13052       5.69600      -5.69600
       7.19752       6.68700      -6.68700
       7.26352       7.38500      -7.38500
       7.33052       7.41200      -7.41200
       7.39752       6.80800      -6.80800
       7.46352       5.90700      -5.90700
       7.53052       5.04700      -5.04700
       7.59752       4.53100      -4.53100
       7.66352       4.70100      -4.70100
       7.73052       5.67900      -5.67900
       7.79752       7.05300      -7.05300
       7.86352       8.14200      -8.14100
       7.93052       8.64400      -8.64300
       7.99752       8.74700      -8.74500
       8.06352       8.58400      -8.58300
       8.13052       7.95800      -7.96000
       8.19752       6.75900      -6.76400
       8.26352       5.36800      -5.37400
       8.33052       4.47300      -4.47100
       8.39752       4.49600      -4.48000
       8.46352       5.23600      -5.21000
       8.53052       6.05200      -6.03000
       8.59752       6.47200      -6.46400
       8.66352       6.55400      -6.55300
       8.73052       6.57200      -6.56500
