     #Energy           s           p           d       tot  
    -6.33604    -0.06667    -0.21120     0.00000    -0.27787
    -6.20204    -0.05909    -0.33984     0.00000    -0.39893
    -6.06904    -0.06053    -0.38112     0.00000    -0.44165
    -5.93604    -0.03862    -0.22344     0.00000    -0.26206
    -5.80204    -0.01783    -0.15328     0.00000    -0.17111
    -5.66904    -0.01863    -0.21256     0.00000    -0.23119
    -5.53604    -0.03935    -0.30744     0.00000    -0.34679
    -5.40204    -0.05247    -0.36520     0.00000    -0.41767
    -5.26904    -0.03959    -0.31344     0.00000    -0.35303
    -5.13604    -0.03322    -0.28392     0.00000    -0.31714
    -5.00204    -0.03694    -0.27408     0.00000    -0.31102
    -4.86904    -0.03587    -0.26096     0.00000    -0.29683
    -4.73604    -0.03127    -0.27120     0.00000    -0.30247
    -4.60204    -0.02814    -0.29864     0.00000    -0.32678
    -4.46904    -0.02647    -0.30048     0.00000    -0.32695
    -4.33604    -0.02687    -0.30144     0.00000    -0.32831
    -4.20204    -0.03037    -0.28736     0.00000    -0.31773
    -4.06904    -0.03317    -0.29664     0.00000    -0.32981
    -3.93604    -0.02785    -0.31176     0.00000    -0.33961
    -3.80204    -0.02027    -0.29384     0.00000    -0.31411
    -3.66904    -0.01434    -0.24744     0.00000    -0.26178
    -3.53604    -0.01055    -0.19640     0.00000    -0.20695
    -3.40204    -0.00915    -0.17088     0.00000    -0.18003
    -3.26904    -0.01766    -0.17608     0.00000    -0.19374
    -3.13604    -0.03098    -0.19064     0.00000    -0.22162
    -3.00204    -0.02625    -0.16008     0.00000    -0.18633
    -2.86904    -0.01744    -0.12128     0.00000    -0.13872
    -2.73604    -0.01716    -0.10480     0.00000    -0.12196
    -2.60204    -0.01870    -0.09192     0.00000    -0.11062
    -2.46904    -0.01960    -0.07302     0.00000    -0.09262
    -2.33604    -0.02125    -0.06880     0.00000    -0.09005
    -2.20204    -0.02002    -0.09608     0.00000    -0.11610
    -2.06904    -0.01582    -0.11192     0.00000    -0.12774
    -1.93604    -0.01218    -0.07918     0.00000    -0.09135
    -1.80204    -0.01111    -0.04813     0.00000    -0.05924
    -1.66904    -0.01306    -0.05503     0.00000    -0.06810
